construction_number,ctd,daily_range,cltd,group_num,construction
11,10,l,25,TSW-11,
11,10,m,21,TSW-11,
11,15,l,30,TSW-11,
11,15,m,26,TSW-11,
11,15,h,21,TSW-11,
11,20,l,35,TSW-11,
11,20,m,31,TSW-11,
11,20,h,26,TSW-11,
11,25,m,36,TSW-11,
11,25,h,31,TSW-11,
11,30,h,36,TSW-11,
11,35,h,41,TSW-11,
16B,10,l,49,TSW-16B,
16B,10,m,45,TSW-16B,
16B,15,l,54,TSW-16B,
16B,15,m,50,TSW-16B,
16B,15,h,45,TSW-16B,
16B,20,l,59,TSW-16B,
16B,20,m,55,TSW-16B,
16B,20,h,50,TSW-16B,
16B,25,m,60,TSW-16B,
16B,25,h,55,TSW-16B,
16B,30,h,60,TSW-16B,
16B,35,h,65,TSW-16B,
18A,10,l,25,TSW-18A-19,
18A,10,m,21,TSW-18A-19,
18A,15,l,30,TSW-18A-19,
18A,15,m,26,TSW-18A-19,
18A,15,h,21,TSW-18A-19,
18A,20,l,35,TSW-18A-19,
18A,20,m,31,TSW-18A-19,
18A,20,h,26,TSW-18A-19,
18A,25,m,36,TSW-18A-19,
18A,25,h,31,TSW-18A-19,
18A,30,h,36,TSW-18A-19,
18A,35,h,41,TSW-18A-19,
19A-11,10,l,7.1,TSW-19A-11,
19A-11,10,m,7.1,TSW-19A-11,
19A-11,15,l,10.6,TSW-19A-11,
19A-11,15,m,10.6,TSW-19A-11,
19A-11,15,h,10.6,TSW-19A-11,
19A-11,20,l,14.1,TSW-19A-11,
19A-11,20,m,14.1,TSW-19A-11,
19A-11,20,h,14.1,TSW-19A-11,
19A-11,25,m,17.7,TSW-19A-11,
19A-11,25,h,17.7,TSW-19A-11,
19A-11,30,h,21.2,TSW-19A-11,
19A-11,35,h,24.8,TSW-19A-11,
22,10,l,0,TSW-22,
22,10,m,0,TSW-22,
22,15,l,0,TSW-22,
22,15,m,0,TSW-22,
22,15,h,0,TSW-22,
22,20,l,0,TSW-22,
22,20,m,0,TSW-22,
22,20,h,0,TSW-22,
22,25,m,0,TSW-22,
22,25,h,0,TSW-22,
22,30,h,0,TSW-22,
22,35,h,0,TSW-22,
,10,l,25.5,A,wall
,10,m,21.5,A,wall
,15,l,30.5,A,wall
,15,m,26.5,A,wall
,15,h,21.5,A,wall
,20,l,35.5,A,wall
,20,m,31.5,A,wall
,20,h,26.5,A,wall
,25,m,36.5,A,wall
,25,h,31.5,A,wall
,30,h,36.5,A,wall
,35,h,41.5,A,wall
,10,l,14.8,A,partition
,10,m,10.8,A,partition
,15,l,19.8,A,partition
,15,m,15.8,A,partition
,15,h,10.8,A,partition
,20,l,24.8,A,partition
,20,m,20.8,A,partition
,20,h,15.8,A,partition
,25,m,25.8,A,partition
,25,h,20.8,A,partition
,30,h,25.8,A,partition
,35,h,30.8,A,partition
,10,l,23.1,B,wall
,10,m,19.1,B,wall
,15,l,28.1,B,wall
,15,m,24.1,B,wall
,15,h,19.1,B,wall
,20,l,33.1,B,wall
,20,m,29.1,B,wall
,20,h,24.1,B,wall
,25,m,34.1,B,wall
,25,h,29.1,B,wall
,30,h,34.1,B,wall
,35,h,39.1,B,wall
,10,l,12.7,B,partition
,10,m,8.7,B,partition
,15,l,17.7,B,partition
,15,m,13.7,B,partition
,15,h,8.7,B,partition
,20,l,22.7,B,partition
,20,m,18.7,B,partition
,20,h,13.7,B,partition
,25,m,23.7,B,partition
,25,h,18.7,B,partition
,30,h,23.7,B,partition
,35,h,28.7,B,partition
,10,l,20.5,C,wall
,10,m,16.5,C,wall
,15,l,25.5,C,wall
,15,m,21.5,C,wall
,15,h,16.5,C,wall
,20,l,30.5,C,wall
,20,m,26.5,C,wall
,20,h,21.5,C,wall
,25,m,31.5,C,wall
,25,h,26.5,C,wall
,30,h,31.5,C,wall
,35,h,36.5,C,wall
,10,l,10.6,C,partition
,10,m,6.6,C,partition
,15,l,15.6,C,partition
,15,m,11.6,C,partition
,15,h,6.6,C,partition
,20,l,20.6,C,partition
,20,m,16.6,C,partition
,20,h,11.6,C,partition
,25,m,21.6,C,partition
,25,h,16.6,C,partition
,30,h,21.6,C,partition
,35,h,26.6,C,partition
,10,l,18.5,D,wall
,10,m,14.5,D,wall
,15,l,23.5,D,wall
,15,m,19.4,D,wall
,15,h,14.5,D,wall
,20,l,28.5,D,wall
,20,m,24.5,D,wall
,20,h,19.5,D,wall
,25,m,29.5,D,wall
,25,h,24.5,D,wall
,30,h,29.5,D,wall
,35,h,34.5,D,wall
,10,l,9.4,D,partition
,10,m,5.4,D,partition
,15,l,14.4,D,partition
,15,m,10.4,D,partition
,15,h,5.4,D,partition
,20,l,19.4,D,partition
,20,m,15.4,D,partition
,20,h,10.4,D,partition
,25,m,20.4,D,partition
,25,h,15.4,D,partition
,30,h,20.4,D,partition
,35,h,25.4,D,partition
,10,l,9999,E,wall
,10,m,9999,E,wall
,15,l,9999,E,wall
,15,m,9999,E,wall
,15,h,9999,E,wall
,20,l,9999,E,wall
,20,m,9999,E,wall
,20,h,9999,E,wall
,25,m,9999,E,wall
,25,h,9999,E,wall
,30,h,9999,E,wall
,35,h,9999,E,wall
,10,l,9999,E,partition
,10,m,9999,E,partition
,15,l,9999,E,partition
,15,m,9999,E,partition
,15,h,9999,E,partition
,20,l,9999,E,partition
,20,m,9999,E,partition
,20,h,9999,E,partition
,25,m,9999,E,partition
,25,h,9999,E,partition
,30,h,9999,E,partition
,35,h,9999,E,partition
,10,l,9999,F,wall
,10,m,9999,F,wall
,15,l,9999,F,wall
,15,m,9999,F,wall
,15,h,9999,F,wall
,20,l,9999,F,wall
,20,m,9999,F,wall
,20,h,9999,F,wall
,25,m,9999,F,wall
,25,h,9999,F,wall
,30,h,9999,F,wall
,35,h,9999,F,wall
,10,l,9999,F,partition
,10,m,9999,F,partition
,15,l,9999,F,partition
,15,m,9999,F,partition
,15,h,9999,F,partition
,20,l,9999,F,partition
,20,m,9999,F,partition
,20,h,9999,F,partition
,25,m,9999,F,partition
,25,h,9999,F,partition
,30,h,9999,F,partition
,35,h,9999,F,partition
,10,l,9999,G,wall
,10,m,9999,G,wall
,15,l,9999,G,wall
,15,m,9999,G,wall
,15,h,9999,G,wall
,20,l,9999,G,wall
,20,m,9999,G,wall
,20,h,9999,G,wall
,25,m,9999,G,wall
,25,h,9999,G,wall
,30,h,9999,G,wall
,35,h,9999,G,wall
,10,l,9999,G,partition
,10,m,9999,G,partition
,15,l,9999,G,partition
,15,m,9999,G,partition
,15,h,9999,G,partition
,20,l,9999,G,partition
,20,m,9999,G,partition
,20,h,9999,G,partition
,25,m,9999,G,partition
,25,h,9999,G,partition
,30,h,9999,G,partition
,35,h,9999,G,partition
,10,l,11.7,H,wall
,10,m,7.7,H,wall
,15,l,16.7,H,wall
,15,m,12.7,H,wall
,15,h,7.7,H,wall
,20,l,21.7,H,wall
,20,m,17.7,H,wall
,20,h,12.7,H,wall
,25,m,22.7,H,wall
,25,h,17.7,H,wall
,30,h,22.7,H,wall
,35,h,27.7,H,wall
,10,l,5.3,H,partition
,10,m,1.3,H,partition
,15,l,10.3,H,partition
,15,m,6.3,H,partition
,15,h,1.3,H,partition
,20,l,15.3,H,partition
,20,m,11.3,H,partition
,20,h,6.3,H,partition
,25,m,16.3,H,partition
,25,h,11.3,H,partition
,30,h,16.3,H,partition
,35,h,21.3,H,partition
,10,l,11,I,wall
,10,m,7,I,wall
,15,l,16,I,wall
,15,m,12,I,wall
,15,h,7,I,wall
,20,l,21,I,wall
,20,m,17,I,wall
,20,h,12,I,wall
,25,m,22,I,wall
,25,h,17,I,wall
,30,h,22,I,wall
,35,h,27,I,wall
,10,l,4.9,I,partition
,10,m,0.9,I,partition
,15,l,9.9,I,partition
,15,m,5.9,I,partition
,15,h,0.9,I,partition
,20,l,14.9,I,partition
,20,m,10.9,I,partition
,20,h,5.9,I,partition
,25,m,15.9,I,partition
,25,h,10.9,I,partition
,30,h,15.9,I,partition
,35,h,20.9,I,partition
,10,l,9999,J,wall
,10,m,9999,J,wall
,15,l,9999,J,wall
,15,m,9999,J,wall
,15,h,9999,J,wall
,20,l,9999,J,wall
,20,m,9999,J,wall
,20,h,9999,J,wall
,25,m,9999,J,wall
,25,h,9999,J,wall
,30,h,9999,J,wall
,35,h,9999,J,wall
,10,l,9999,J,partition
,10,m,9999,J,partition
,15,l,9999,J,partition
,15,m,9999,J,partition
,15,h,9999,J,partition
,20,l,9999,J,partition
,20,m,9999,J,partition
,20,h,9999,J,partition
,25,m,9999,J,partition
,25,h,9999,J,partition
,30,h,9999,J,partition
,35,h,9999,J,partition
,10,l,9999,K,wall
,10,m,9999,K,wall
,15,l,9999,K,wall
,15,m,9999,K,wall
,15,h,9999,K,wall
,20,l,9999,K,wall
,20,m,9999,K,wall
,20,h,9999,K,wall
,25,m,9999,K,wall
,25,h,9999,K,wall
,30,h,9999,K,wall
,35,h,9999,K,wall
,10,l,9999,K,partition
,10,m,9999,K,partition
,15,l,9999,K,partition
,15,m,9999,K,partition
,15,h,9999,K,partition
,20,l,9999,K,partition
,20,m,9999,K,partition
,20,h,9999,K,partition
,25,m,9999,K,partition
,25,h,9999,K,partition
,30,h,9999,K,partition
,35,h,9999,K,partition
